Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
206	:	1762196722.162	     0.013	0	0	0	0	conjuge -vI atteler
207	:	1762196722.165	     0.011	0	0	0	0	conjuge -vI attendre
208	:	1762196722.168	     0.013	0	0	0	0	conjuge -vI attendrir
209	:	1762196722.172	     0.013	0	0	0	0	conjuge -vI attenter
210	:	1762196722.175	     0.009	0	0	0	0	conjuge -vI 'atténuer'
211	:	1762196722.178	     0.013	0	0	0	0	conjuge -vI atterrer
212	:	1762196722.181	     0.013	0	0	0	0	conjuge -vI atterrir
213	:	1762196722.184	     0.013	0	0	0	0	conjuge -vI attester
214	:	1762196722.188	     0.012	0	0	0	0	conjuge -vI attirer
215	:	1762196722.191	     0.009	0	0	0	0	conjuge -vI attiser
216	:	1762196722.194	     0.012	0	0	0	0	conjuge -vI attraper
217	:	1762196722.197	     0.012	0	0	0	0	conjuge -vI attribuer
218	:	1762196722.200	     0.011	0	0	0	0	conjuge -vI augmenter
219	:	1762196722.203	     0.013	0	0	0	0	conjuge -vI autoriser
221	:	1762196722.209	     0.025	0	0	0	0	conjuge -vI avaler
222	:	1762196722.212	     0.030	0	0	0	0	conjuge -vI avancer
223	:	1762196722.216	     0.031	0	0	0	0	conjuge -vI aventurer
224	:	1762196722.228	     0.025	0	0	0	0	conjuge -vI 'avérer'
225	:	1762196722.235	     0.023	0	0	0	0	conjuge -vI avertir
226	:	1762196722.242	     0.020	0	0	0	0	conjuge -vI aviser
18	:	1762196721.514	     0.753	0	0	0	0	conjuge -vI absenter
227	:	1762196722.248	     0.019	0	0	0	0	conjuge -vI avoir
228	:	1762196722.253	     0.019	0	0	0	0	conjuge -vI avouer
229	:	1762196722.258	     0.014	0	0	0	0	conjuge -vI avoyer
20	:	1762196721.520	     0.756	0	0	0	0	conjuge -vI abstenir
230	:	1762196722.262	     0.013	0	0	0	0	conjuge -vI axer
231	:	1762196722.267	     0.015	0	0	0	0	conjuge -vI baigner
232	:	1762196722.272	     0.013	0	0	0	0	conjuge -vI bailler
233	:	1762196722.276	     0.012	0	0	0	0	conjuge -vI 'bâiller'
234	:	1762196722.279	     0.013	0	0	0	0	conjuge -vI baisser
235	:	1762196722.282	     0.010	0	0	0	0	conjuge -vI balader
236	:	1762196722.285	     0.013	0	0	0	0	conjuge -vI balancer
237	:	1762196722.288	     0.013	0	0	0	0	conjuge -vI balayer
238	:	1762196722.292	     0.009	0	0	0	0	conjuge -vI balbutier
239	:	1762196722.295	     0.013	0	0	0	0	conjuge -vI bander
240	:	1762196722.298	     0.010	0	0	0	0	conjuge -vI bannir
241	:	1762196722.302	     0.013	0	0	0	0	conjuge -vI baptiser
242	:	1762196722.305	     0.013	0	0	0	0	conjuge -vI barrer
243	:	1762196722.308	     0.013	0	0	0	0	conjuge -vI barrir
244	:	1762196722.312	     0.011	0	0	0	0	conjuge -vI basculer
245	:	1762196722.314	     0.014	0	0	0	0	conjuge -vI baser
246	:	1762196722.317	     0.014	0	0	0	0	conjuge -vI 'bâter'
247	:	1762196722.321	     0.009	0	0	0	0	conjuge -vI 'bâtir'
248	:	1762196722.324	     0.013	0	0	0	0	conjuge -vI battre
249	:	1762196722.327	     0.011	0	0	0	0	conjuge -vI bavarder
250	:	1762196722.331	     0.013	0	0	0	0	conjuge -vI baver
251	:	1762196722.334	     0.013	0	0	0	0	conjuge -vI bayer
43	:	1762196721.596	     0.759	0	0	0	0	conjuge -vI acharner
39	:	1762196721.582	     0.795	0	0	0	0	conjuge -vI accroupir
58	:	1762196721.646	     0.746	0	0	0	0	conjuge -vI adire
132	:	1762196721.912	     0.778	0	0	0	0	conjuge -vI 'amuïr'
149	:	1762196721.967	     0.786	0	0	0	0	conjuge -vI apparenter
220	:	1762196722.206	     0.769	0	0	0	0	conjuge -vI autosuggestionner
253	:	1762196722.341	     0.944	0	0	0	0	conjuge -vI 'bégayer'
255	:	1762196722.348	     1.169	0	0	0	0	conjuge -vI 'bénéficier'
257	:	1762196722.368	     1.152	0	0	0	0	conjuge -vI bercer
266	:	1762196722.432	     1.305	0	0	0	0	conjuge -vI 'blêmir'
281	:	1762196722.558	     1.201	0	0	0	0	conjuge -vI bouder
274	:	1762196722.491	     1.384	0	0	0	0	conjuge -vI 'boîter'
276	:	1762196722.504	     1.411	0	0	0	0	conjuge -vI bondir
271	:	1762196722.474	     1.453	0	0	0	0	conjuge -vI boire
284	:	1762196722.595	     1.378	0	0	0	0	conjuge -vI bouillir
279	:	1762196722.539	     1.464	0	0	0	0	conjuge -vI botter
273	:	1762196722.485	     1.551	0	0	0	0	conjuge -vI boiter
277	:	1762196722.510	     1.549	0	0	0	0	conjuge -vI bonifier
283	:	1762196722.578	     1.481	0	0	0	0	conjuge -vI bouger
263	:	1762196722.409	     1.756	0	0	0	0	conjuge -vI blaguer
265	:	1762196722.423	     1.880	0	0	0	0	conjuge -vI blanchir
286	:	1762196722.617	     1.720	0	0	0	0	conjuge -vI bouleverser
290	:	1762196722.645	     1.758	0	0	0	0	conjuge -vI braire
298	:	1762196722.719	     1.901	0	0	0	0	conjuge -vI briller
294	:	1762196722.690	     2.136	0	0	0	0	conjuge -vI branler
301	:	1762196722.753	     2.266	0	0	0	0	conjuge -vI bronzer
300	:	1762196722.746	     2.595	0	0	0	0	conjuge -vI briser
304	:	1762196722.781	     2.577	0	0	0	0	conjuge -vI broyer
308	:	1762196722.820	     2.671	0	0	0	0	conjuge -vI brunir
306	:	1762196722.795	     2.889	0	0	0	0	conjuge -vI 'brûler'
305	:	1762196722.786	     2.921	0	0	0	0	conjuge -vI bruire
292	:	1762196722.665	     3.209	0	0	0	0	conjuge -vI brancher
302	:	1762196722.766	     3.263	0	0	0	0	conjuge -vI brosser
313	:	1762196722.869	     3.239	0	0	0	0	conjuge -vI calculer
314	:	1762196722.877	     3.347	0	0	0	0	conjuge -vI caler
317	:	1762196722.905	     3.566	0	0	0	0	conjuge -vI capeler
311	:	1762196722.853	     3.830	0	0	0	0	conjuge -vI cacher
310	:	1762196722.846	     4.199	0	0	0	0	conjuge -vI buriner
324	:	1762196722.975	     4.284	0	0	0	0	conjuge -vI carreler
326	:	1762196722.990	     4.413	0	0	0	0	conjuge -vI casser
254	:	1762196722.344	     6.501	0	0	0	0	conjuge -vI 'bêler'
333	:	1762196723.064	     6.300	0	0	0	0	conjuge -vI cerner
335	:	1762196723.078	     6.733	0	0	0	0	conjuge -vI cesser
269	:	1762196722.459	     7.554	0	0	0	0	conjuge -vI bloquer
275	:	1762196722.498	     7.909	0	0	0	0	conjuge -vI bonder
331	:	1762196723.049	     7.851	0	0	0	0	conjuge -vI 'célébrer'
337	:	1762196723.095	     7.968	0	0	0	0	conjuge -vI chaloir
334	:	1762196723.072	     8.115	0	0	0	0	conjuge -vI certifier
315	:	1762196722.887	     8.519	0	0	0	0	conjuge -vI calmer
285	:	1762196722.605	     8.908	0	0	0	0	conjuge -vI bouler
338	:	1762196723.107	     8.785	0	0	0	0	conjuge -vI chanceler
340	:	1762196723.124	     8.983	0	0	0	0	conjuge -vI chanter
339	:	1762196723.114	     9.146	0	0	0	0	conjuge -vI changer
344	:	1762196723.168	     9.233	0	0	0	0	conjuge -vI chasser
289	:	1762196722.641	     9.795	0	0	0	0	conjuge -vI bouter
268	:	1762196722.450	    10.019	0	0	0	0	conjuge -vI bleuir
297	:	1762196722.713	     9.779	0	0	0	0	conjuge -vI bricoler
309	:	1762196722.835	     9.871	0	0	0	0	conjuge -vI 'budgéter'
267	:	1762196722.437	    10.693	0	0	0	0	conjuge -vI blesser
343	:	1762196723.163	    10.064	0	0	0	0	conjuge -vI charrier
353	:	1762196723.249	    10.059	0	0	0	0	conjuge -vI choir
259	:	1762196722.385	    10.956	0	0	0	0	conjuge -vI bienvenir
320	:	1762196722.938	    10.618	0	0	0	0	conjuge -vI caqueter
299	:	1762196722.732	    10.896	0	0	0	0	conjuge -vI brimbaler
262	:	1762196722.404	    11.333	0	0	0	0	conjuge -vI biser
346	:	1762196723.181	    10.574	0	0	0	0	conjuge -vI chauffer
258	:	1762196722.377	    11.389	0	0	0	0	conjuge -vI besogner
348	:	1762196723.206	    10.730	0	0	0	0	conjuge -vI chercher
278	:	1762196722.528	    11.452	0	0	0	0	conjuge -vI bosser
351	:	1762196723.235	    10.782	0	0	0	0	conjuge -vI chevaucher
329	:	1762196723.021	    11.002	0	0	0	0	conjuge -vI 'céder'
280	:	1762196722.549	    11.687	0	0	0	0	conjuge -vI boucher
349	:	1762196723.218	    11.029	0	0	0	0	conjuge -vI 'chérir'
354	:	1762196723.254	    11.262	0	0	0	0	conjuge -vI choisir
350	:	1762196723.227	    11.305	0	0	0	0	conjuge -vI cherrer
288	:	1762196722.636	    11.939	0	0	0	0	conjuge -vI bousculer
566	:	1762196733.986	     0.758	0	0	0	0	conjuge -vI 'défaire'
570	:	1762196734.258	     0.497	0	0	0	0	conjuge -vI 'définir'
270	:	1762196722.467	    12.371	0	0	0	0	conjuge -vI blottir
282	:	1762196722.569	    12.388	0	0	0	0	conjuge -vI bouffer
264	:	1762196722.417	    12.557	0	0	0	0	conjuge -vI 'blâmer'
296	:	1762196722.708	    12.536	0	0	0	0	conjuge -vI breveter
364	:	1762196723.367	    12.052	0	0	0	0	conjuge -vI ciseler
375	:	1762196723.466	    12.153	0	0	0	0	conjuge -vI cocher
312	:	1762196722.859	    12.801	0	0	0	0	conjuge -vI cacheter
373	:	1762196723.444	    12.234	0	0	0	0	conjuge -vI 'clôturer'
307	:	1762196722.804	    13.008	0	0	0	0	conjuge -vI brumer
367	:	1762196723.397	    12.425	0	0	0	0	conjuge -vI clarifier
370	:	1762196723.416	    12.415	0	0	0	0	conjuge -vI cliquer
372	:	1762196723.430	    12.401	0	0	0	0	conjuge -vI clore
379	:	1762196723.518	    12.421	0	0	0	0	conjuge -vI coiffer
381	:	1762196723.534	    12.453	0	0	0	0	conjuge -vI 'coïncider'
327	:	1762196722.997	    12.996	0	0	0	0	conjuge -vI causer
293	:	1762196722.679	    13.346	0	0	0	0	conjuge -vI brandir
291	:	1762196722.654	    13.394	0	0	0	0	conjuge -vI bramer
303	:	1762196722.774	    13.361	0	0	0	0	conjuge -vI brouter
369	:	1762196723.411	    12.835	0	0	0	0	conjuge -vI clignoter
332	:	1762196723.058	    13.260	0	0	0	0	conjuge -vI celer
260	:	1762196722.392	    13.927	0	0	0	0	conjuge -vI biner
374	:	1762196723.454	    13.055	0	0	0	0	conjuge -vI clouer
388	:	1762196723.601	    12.991	0	0	0	0	conjuge -vI combattre
378	:	1762196723.507	    13.118	0	0	0	0	conjuge -vI cogner
252	:	1762196722.337	    14.456	0	0	0	0	conjuge -vI 'béer'
272	:	1762196722.480	    14.322	0	0	0	0	conjuge -vI boiser
380	:	1762196723.527	    13.331	0	0	0	0	conjuge -vI coincer
261	:	1762196722.399	    14.482	0	0	0	0	conjuge -vI biper
319	:	1762196722.924	    13.980	0	0	0	0	conjuge -vI capter
376	:	1762196723.484	    13.447	0	0	0	0	conjuge -vI 'côcher'
391	:	1762196723.631	    13.529	0	0	0	0	conjuge -vI commander
382	:	1762196723.544	    13.634	0	0	0	0	conjuge -vI collaborer
392	:	1762196723.642	    13.582	0	0	0	0	conjuge -vI commencer
397	:	1762196723.680	    13.580	0	0	0	0	conjuge -vI 'comparaître'
394	:	1762196723.662	    13.694	0	0	0	0	conjuge -vI commercer
403	:	1762196723.746	    13.713	0	0	0	0	conjuge -vI 'compléter'
395	:	1762196723.668	    13.852	0	0	0	0	conjuge -vI commettre
385	:	1762196723.583	    14.085	0	0	0	0	conjuge -vI coller
287	:	1762196722.630	    15.053	0	0	0	0	conjuge -vI bourrer
387	:	1762196723.596	    14.117	0	0	0	0	conjuge -vI colorier
398	:	1762196723.696	    14.253	0	0	0	0	conjuge -vI comparer
406	:	1762196723.771	    14.218	0	0	0	0	conjuge -vI comporter
407	:	1762196723.781	    14.272	0	0	0	0	conjuge -vI composer
393	:	1762196723.651	    14.431	0	0	0	0	conjuge -vI commenter
399	:	1762196723.701	    14.434	0	0	0	0	conjuge -vI compatir
404	:	1762196723.760	    14.668	0	0	0	0	conjuge -vI complexifier
342	:	1762196723.153	    15.609	0	0	0	0	conjuge -vI charmer
410	:	1762196723.811	    14.990	0	0	0	0	conjuge -vI compter
408	:	1762196723.786	    15.035	0	0	0	0	conjuge -vI comprendre
411	:	1762196723.825	    15.155	0	0	0	0	conjuge -vI 'concéder'
400	:	1762196723.713	    15.320	0	0	0	0	conjuge -vI compenser
256	:	1762196722.354	    16.712	0	0	0	0	conjuge -vI 'bénir'
413	:	1762196723.846	    15.250	0	0	0	0	conjuge -vI concerner
416	:	1762196723.868	    15.412	0	0	0	0	conjuge -vI conclure
421	:	1762196723.915	    15.419	0	0	0	0	conjuge -vI conduire
412	:	1762196723.835	    15.510	0	0	0	0	conjuge -vI concentrer
417	:	1762196723.876	    15.523	0	0	0	0	conjuge -vI concourir
415	:	1762196723.862	    15.582	0	0	0	0	conjuge -vI concilier
423	:	1762196723.938	    15.618	0	0	0	0	conjuge -vI 'conférer'
419	:	1762196723.889	    15.784	0	0	0	0	conjuge -vI condamner
420	:	1762196723.903	    15.880	0	0	0	0	conjuge -vI conditionner
316	:	1762196722.895	    16.894	0	0	0	0	conjuge -vI caner
418	:	1762196723.884	    15.960	0	0	0	0	conjuge -vI concurrencer
323	:	1762196722.969	    16.949	0	0	0	0	conjuge -vI caresser
